"ID","word","tagType","sentencenumber"
"13906","RT","Other","1"
"13907","@sinembesik","Person","1"
"13909","En","Other","1"
"13910","hüzünlü","Other","1"
"13911","aşk","Other","1"
"13912","bir","Other","1"
"13913","şehidin","Other","1"
"13914","aşkıdır.","Other","1"
"13915","Yine","Other","1"
"13916","dinlerken","Other","1"
"13917","kanımızın","Other","1"
"13918","coşacağına","Other","1"
"13919","eminim","Other","1"
"13920","varol","Other","1"
"13921","reis","Other","1"
"13922","#AyyıldızKolye","Product","1"
"13923","@ahmetsafak_tc","Person","1"
"13925","RT","Other","2"
"13926","@MusaGencer7","Person","2"
"13928","Ayyıldız Kolye","Product","2"
"13930","güzelliğine","Other","2"
"13931","güzellik","Other","2"
"13932","katsın\nSana","Other","2"
"13933","olan","Other","2"
"13934","aşkımı","Other","2"
"13935","Ayyıldız Kolye","Product","2"
"13936","anlatsın","Other","2"
"13938","hayırlı","Other","2"
"13939","olsun","Other","2"
"13940","abim","Other","2"
"13941","@ahmetsafak_tc","Person","2"
"13942","RT","Other","3"
"13943","@ezgiaykacc","Person","3"
"13945","#AyyıldızKolye","Product","3"
"13946","hayırlı","Other","3"
"13947","olsun","Other","3"
"13948","@ahmetsafak_tc","Person","3"
"13950","RT","Other","4"
"13951","@arzuerdemfan","Person","4"
"13953","Ayyıldız Kolye","Product","4"
"13955","güzelliğine","Other","4"
"13956","güzellik","Other","4"
"13957","katsın\nSana","Other","4"
"13958","olan","Other","4"
"13959","aşkımı","Other","4"
"13960","Kolye","Other","4"
"13961","#AyyıldızKolye","Product","4"
"13962","#arzuerdem","Person","4"
"13963","@ahmetsafa…","Person","4"
"13964","RT","Other","5"
"13965","@ahmetsafak_tc","Person","5"
"13967","Sana","Other","5"
"13968","olan","Other","5"
"13969","aşkımı","Other","5"
"13970","ayyıldız","Other","5"
"13971","kolye","Other","5"
"13972","#AyyıldızKolye","Product","5"
"13973","albümü","Other","5"
"13974","kutlu","Other","5"
"13975","bir","Other","5"
"13976","aşkın","Other","5"
"13977","albümü.","Other","5"
"13979","RT","Other","6"
"13980","@musascolak","Person","6"
"13982","Ayyıldız Kolye","Product","6"
"13984","güzelliğine","Other","6"
"13985","güzellik","Other","6"
"13986","katsın\nSana","Other","6"
"13987","olan","Other","6"
"13988","aşkımı","Other","6"
"13989","Ayyıldız","Other","6"
"13990","Kolye","Other","6"
"13991","@ahmetsafak_tc","Person","6"
"13992","hayırlı","Other","6"
"13993","olsun","Other","6"
"13994","abim","Other","6"
"13995","http…","Other","6"
"13997","Sana","Other","7"
"13998","olan","Other","7"
"13999","aşkımı","Other","7"
"14000","ayyıldız","Other","7"
"14001","kolye","Other","7"
"14002","#AyyıldızKolye","Product","7"
"14003","albümü","Other","7"
"14004","kutlu","Other","7"
"14005","bir","Other","7"
"14006","aşkın","Other","7"
"14007","albümü.","Other","7"
"14009","RT","Other","8"
"14010","@blacklife3838","Person","8"
"14012","#ayyıldızkolye","Product","8"
"14013","Albümün","Other","8"
"14014","adından","Other","8"
"14015","bile","Other","8"
"14016","ne","Other","8"
"14017","kadar","Other","8"
"14018","güzel","Other","8"
"14019","olduğunu","Other","8"
"14020","anlayabiliyorum??","Other","8"
"14021","??ükürler","Other","8"
"14022","olsun","Other","8"
"14023","çıktı??","Other","8"
"14024","@ahmetsafak_tc","Person","8"
"14026","RT","Other","9"
"14027","@meryemtly","Person","9"
"14029","Sana","Other","9"
"14030","olan","Other","9"
"14031","aşkımı","Other","9"
"14032","#AyyıldızKolye","Product","9"
"14033","anlatsın","Other","9"
"14035","@ahmetsafak_tc","Person","9"
"14037","#AyyıldızKolye","Product","10"
"14038","albümü","Other","10"
"14039","an","Other","10"
"14040","itibariyle","Other","10"
"14041","itunes","Organization","10"
"14042","ve","Other","10"
"14043","ttnet","Organization","10"
"14044","müzik","Other","10"
"14045","başta","Other","10"
"14046","olmak","Other","10"
"14047","üzere","Other","10"
"14048","bütün","Other","10"
"14049","müzik","Other","10"
"14050","sayfalarında.Keyifle","Other","10"
